,2000 1% Census OCC code,2000 5% Census OCC code,2000-2004 ACS OCC code,2005-2009 ACS/PRCS OCC code,2010-2012 ACS/PRCS OCC code,2013-2017 ACS/PRCS OCC code,2018 ACS/PRCS OCC code,2000 1% Census OCCSOC code,2000 5% Census OCCSOC code,2000-2004 ACS OCCSOC code,2005-2009 ACS/PRCS OCCSOC code,2010-2012 ACS/PRCS OCCSOC,2013-2017 ACS/PRCS OCCSOC code,2018 Onward ACS/PRCS,Occupation title
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not Applicable (Under 16 years or not in the labor force, who last worked more than 5 years ago--also see occ code 992 or occsoc code 999920)"
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",,,,,,,,,,,,,,,
Management Occupations:,,,,,,,,,,,,,,,
,,,,,740,740,,,,,,131199,131199,,"Business Operations Specialists, All Other"
,,,,,,,750,,,,,,,131199,"Business Operations Specialists, All Other"
,80,80,800,800,800,800,800,132011,132011,132011,132011,132011,132011,132011,Accountants and Auditors
,81,81,810,810,810,810,,132021,132021,132021,132021,132021,132021,,Appraisers and Assessors of Real Estate
,,,,,,,810,,,,,,,132020,Property appraisers and assessors
,82,82,820,820,820,820,820,132031,132031,132031,132031,132031,132031,132031,Budget Analysts
,83,83,830,830,830,830,830,132041,132041,132041,132041,132041,132041,132041,Credit Analysts
,84,84,840,840,840,840,,132051,132051,132051,132051,132051,132051,,Financial Analysts
,,,,,,,845,,,,,,,132051,Financial and Investment Analysts
,85,85,850,850,850,850,850,132052,132052,132052,132052,132052,132052,132052,Personal Financial Advisors
,86,86,860,860,860,860,860,132053,132053,132053,132053,132053,132053,132053,Insurance Underwriters
,90,90,900,900,900,900,900,132061,132061,132061,132061,132061,132061,132061,Financial Examiners
,91,91,910,910,910,910,910,132070,132070,132070,132070,132070,132070,132070,Credit Counselors and Loan Officers
